name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Alexandre Dantas,Cafe,0,3,0,187.96,107.95,,Orthodox,01-03-1979
Alexandre Ferreira,Cacareco,18,6,0,170.18,92.99,,Orthodox,25-04-1979
Alexandre Franca Nogueira,Pequeno,18,6,3,170.18,65.77,,Orthodox,15-01-1978
Alexandre Pantoja,The Cannibal,26,5,0,165.1,56.7,170.18,Orthodox,16-04-1990
Alexandru Lungu,,14,4,0,182.88,174.63,,Orthodox,03-09-1974
Alexis Davis,,21,11,0,167.64,61.23,172.72,Orthodox,04-10-1984
Alexis Dufresne,Sneaky Zebra,6,3,0,175.26,61.23,,Orthodox,31-08-1990
Alfonso Alcarez,,1,3,1,160.02,65.77,,,
Alfred Khashakyan,The Fearless,8,3,0,172.72,61.23,177.8,Orthodox,17-07-1988
Ali AlQaisi,The Royal Fighter,8,5,0,167.64,61.23,172.72,Orthodox,23-09-1990
Ali Bagautinov,Puncher,15,6,0,162.56,56.7,165.1,Orthodox,10-06-1985
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,24-08-1990
Aliev Makhmud,,0,1,0,167.64,88.45,,Southpaw,13-02-1970
Alistair Overeem,The Demolition Man,47,19,0,193.04,120.2,203.2,Orthodox,17-05-1980
Aljamain Sterling,Funk Master,23,4,0,170.18,61.23,180.34,Orthodox,31-07-1989
Allan Begosso,Mini,7,2,1,165.1,61.23,167.64,Orthodox,23-11-1995
Allan Goes,,10,5,2,182.88,92.99,,Orthodox,20-04-1971
Allan Nascimento,Puro Osso,20,6,0,172.72,56.7,175.26,Orthodox,11-09-1991
Allan Zuniga,Tigre,13,1,0,170.18,70.31,177.8,Orthodox,04-04-1992
Allen Berube,Monstah Lobstah,4,3,0,172.72,70.31,,Orthodox,25-08-1974
Allen Crowder,Pretty Boy,10,4,0,190.5,111.13,193.04,Orthodox,08-11-1989
Alonzo Martinez,Zo Diddy,42,20,1,177.8,70.31,,,
Alonzo Menifield,Atomic,14,3,1,182.88,92.99,193.04,Orthodox,18-10-1987
Alptekin Ozkilic,The Turkish Delight,9,5,0,165.1,56.7,165.1,Orthodox,27-03-1986
Alton Cunningham,The Bo-Man,4,2,0,187.96,92.99,195.58,Orthodox,24-06-1993
Alvaro Herrera Mendoza,Chango,9,6,0,182.88,70.31,187.96,Orthodox,14-05-1990
Alvin Cacdac,,18,13,0,167.64,56.7,,Orthodox,
Alvin Robinson,,15,9,0,175.26,70.31,172.72,Southpaw,16-07-1982
Amador Ramirez,,5,4,0,,61.23,,,
Amanda Cooper,ABC,3,5,0,160.02,52.16,162.56,Switch,22-10-1991
Amanda Lemos,,13,3,1,162.56,52.16,165.1,Southpaw,22-05-1987
Amanda Nunes,The Lioness,23,5,0,172.72,61.23,175.26,Orthodox,30-05-1988
Amanda Ribas,,12,4,0,160.02,52.16,167.64,Orthodox,26-08-1993
Amar Suloev,,24,7,0,175.26,83.01,,Orthodox,01-07-1976
Amaury Bitetti,,5,2,0,175.26,83.91,,Orthodox,
Amber Tackett,,1,3,0,,52.16,,,
Amilcar Alves,,15,12,0,182.88,77.11,,Southpaw,08-08-1988
Amir Albazi,The Prince,17,1,0,165.1,56.7,172.72,Orthodox,27-10-1993
Amir Aliakbari,,10,1,0,190.5,113.4,,,
Amir Rahnavardi,,11,10,0,182.88,92.99,,Orthodox,07-12-1974
Amir Sadollah,,6,5,0,177.8,77.11,190.5,Orthodox,27-08-1980
Amiran Gogoladze,,14,3,0,185.42,77.11,187.96,Switch,09-12-1997
Anatoly Tokov,,25,2,0,177.8,83.91,,,
Anderson Dos Santos,Berinja,21,9,0,165.1,61.23,177.8,Orthodox,24-07-1985
Anderson Silva,The Spider,34,11,0,187.96,83.91,195.58,Southpaw,14-04-1975
Andre Amado,Dida,6,4,1,182.88,69.85,,Orthodox,
Andre Ewell,Mr. Highlight,17,9,0,172.72,65.77,190.5,Southpaw,21-01-1988
Andre Fialho,,16,8,0,182.88,77.11,187.96,Orthodox,07-04-1994
Andre Fili,Touchy,22,10,0,180.34,65.77,187.96,Orthodox,25-06-1990
Andre Galvao,,5,2,0,170.18,76.2,,Orthodox,29-09-1982
Andre Gusmao,,6,3,0,182.88,92.99,,Orthodox,19-05-1977
Andre Lima,Mascote,7,0,0,170.18,56.7,170.18,Orthodox,04-02-1999
Andre Muniz,Sergipano,23,6,0,185.42,83.91,198.12,Southpaw,17-02-1990
Andre Mussi,,11,5,0,190.5,109.77,,Orthodox,
Andre Pederneiras,,1,1,2,172.72,70.31,,Orthodox,22-03-1967
Andre Petroski,,10,3,0,182.88,83.91,185.42,Switch,12-06-1991
Andre Roberts,The Chief,14,2,1,187.96,156.49,,Orthodox,24-02-1965
Andre Santos,Chatuba,38,10,0,182.88,77.11,,,
Andre Soukhamthath,The Asian Sensation,13,8,0,175.26,61.23,177.8,Orthodox,23-10-1988
Andre Walker,,1,5,0,180.34,92.99,,Southpaw,
Andre Winner,,21,11,2,180.34,70.31,185.42,Orthodox,09-11-1981
Andrea Lee,KGB,13,8,0,167.64,56.7,175.26,Orthodox,11-02-1989
Andreas Michailidis,The Spartan,13,6,0,182.88,77.11,193.04,Orthodox,18-07-1988
Andreas Spang,Sweet Swede,9,3,0,185.42,83.91,,,
Andreas Stahl,Real Steel,10,4,0,180.34,77.11,,Orthodox,20-05-1988
Andrei Arlovski,The Pitbull,34,22,0,190.5,108.86,195.58,Orthodox,04-02-1979
Andrei Kopylov,,6,11,0,187.96,120.2,,Orthodox,16-07-1965
Andrei Semenov,,34,9,2,182.88,83.91,,Orthodox,17-06-1977
Andrew Craig,Highlight,9,4,0,185.42,77.11,193.04,Orthodox,15-01-1986
Andrew Holbrook,,12,3,0,180.34,70.31,177.8,Southpaw,06-02-1986
Andrew Martinez,Mickey D,9,6,0,175.26,97.52,,,
Andrew Montanez,,9,12,1,,83.91,,,
Andrew Ramm,The,4,4,0,185.42,72.57,,,
Andrew Sanchez,El Dirte,13,7,0,185.42,83.91,187.96,Orthodox,08-04-1988
Andrew Todhunter,The Sniper,8,0,0,182.88,83.91,,Switch,30-11-1987
Andrew Valladerez,,5,7,0,,61.23,,,
Andrews Nakahara,,5,4,2,185.42,83.91,,Orthodox,12-03-1983
Andrey Koreshkov,Spartan,19,2,0,182.88,77.11,,,
Andy Anderson,The Hammer,0,1,0,167.64,108.86,,,
Andy Enz,Tank Mode,10,4,0,190.5,83.91,198.12,Orthodox,15-08-1991
Andy Murad,The Tooth Fairy,15,2,0,175.26,83.91,,,
Andy Ogle,The Little Axe,9,6,0,172.72,65.77,175.26,Orthodox,16-02-1989
Andy Ologun,,3,1,0,182.88,69.85,,Orthodox,12-06-1983
Andy Uhrich,,11,6,0,182.88,77.11,,,
Andy Wang,,7,8,1,167.64,70.31,,Orthodox,28-05-1977
Andy Waters,,1,2,0,182.88,77.11,,,
Ange Loosa,The Last Ninja,10,3,0,177.8,77.11,187.96,Orthodox,18-03-1993
Angel De Anda,The Dream,18,6,0,175.26,102.06,,Orthodox,28-05-1985
Angel Pacheco,,7,2,0,172.72,65.77,177.8,Orthodox,13-01-1992
Angela Hill,Overkill,16,13,0,160.02,52.16,162.56,Orthodox,12-01-1985
