RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,BlueStance,BlueHeightCms,BlueReachCms,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,Finish,FinishDetails,FinishRound,FinishRoundTime,UfcEvent,,,,,,,,,,,,,,,,
Jonathan Martinez,Marcus McGhee,-105,-115,16-11-2024,"New York City, New York, USA",USA,Blue,FALSE,Bantamweight,MALE,Orthodox,172.72,175.26,Southpaw,172.72,177.8,30,34,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Jim Miller,Damon Jackson,195,-238,16-11-2024,"New York City, New York, USA",USA,Red,FALSE,Lightweight,MALE,Switch,180.34,180.34,Southpaw,172.72,180.34,41,36,SUB,Guillotine Choke,1,2:44,,,,,,,,,,,,,,,,,
David Onama,Roberto Romero,-1450,850,16-11-2024,"New York City, New York, USA",USA,Red,FALSE,Lightweight,MALE,Orthodox,172.72,177.8,Orthodox,180.34,187.96,30,24,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Marcin Tybura,Jhonata Diniz,-105,-115,16-11-2024,"New York City, New York, USA",USA,Red,FALSE,Heavyweight,MALE,Orthodox,193.04,200.66,Orthodox,190.5,198.12,39,33,KO/TKO,,2,5:00,,,,,,,,,,,,,,,,,
Mickey Gall,Ramiz Brahimaj,-170,142,16-11-2024,"New York City, New York, USA",USA,Blue,FALSE,Welterweight,MALE,Orthodox,177.8,182.88,Switch,187.96,187.96,32,31,KO/TKO,Punch,1,2:55,,,,,,,,,,,,,,,,,
Bassil Hafez,Oban Elliott,250,-310,16-11-2024,"New York City, New York, USA",USA,Blue,FALSE,Welterweight,MALE,Orthodox,182.88,182.88,Orthodox,180.34,182.88,32,26,KO/TKO,Punch,3,0:40,,,,,,,,,,,,,,,,,
Veronica Hardy,Eduarda Moura,,,16-11-2024,"New York City, New York, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,167.64,167.64,Southpaw,162.56,162.56,29,30,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Neil Magny,Carlos Prates,550,-800,09-11-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,Switch,185.42,198.12,Orthodox,190.5,203.2,37,31,KO/TKO,Punch,1,4:50,,,,,,,,,,,,,,,,,
Gerald Meerschaert,Reinier de Ridder,250,-310,09-11-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,Southpaw,193.04,198.12,Southpaw,185.42,195.58,36,34,SUB,Arm Triangle,3,1:44,,,,,,,,,,,,,,,,,
Gaston Bolanos,Cortavious Romious,205,-250,09-11-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,Southpaw,162.56,172.72,Orthodox,170.18,175.26,32,30,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Luana Pinheiro,Gillian Robertson,360,-470,09-11-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,Orthodox,165.1,160.02,Orthodox,157.48,157.48,31,29,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Mansur Abdul-Malik,Dusko Todorovic,-485,370,09-11-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,185.42,187.96,Orthodox,187.96,200.66,27,30,KO/TKO,Punches,1,2:44,,,,,,,,,,,,,,,,,
Karolina Kowalkiewicz,Denise Gomes,,,09-11-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,Orthodox,157.48,160.02,Orthodox,160.02,162.56,39,24,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Elizeu Zaleski dos Santos,Zachary Scroggin,,,09-11-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Orthodox,190.5,187.96,Orthodox,180.34,185.42,37,28,KO/TKO,Punches,1,1:15,,,,,,,,,,,,,,,,,
Matthew Semelsberger,Charles Radtke,,,09-11-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,Orthodox,175.26,182.88,Switch,185.42,190.5,31,34,KO/TKO,Punches,1,0:51,,,,,,,,,,,,,,,,,
Cody Stamann,Da'Mon Blackshear,,,09-11-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,Switch,177.8,182.88,Orthodox,167.64,162.56,35,30,SUB,Rear Naked Choke,1,4:19,,,,,,,,,,,,,,,,,
Tresean Gore,Antonio Trocoli,,,09-11-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,198.12,200.66,Switch,182.88,190.5,30,33,SUB,Guillotine Choke,1,1:23,,,,,,,,,,,,,,,,,
