RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,BlueStance,BlueHeightCms,BlueReachCms,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,Finish,FinishDetails,FinishRound,FinishRoundTime,UfcEvent,,,,,,,,,,,,,,,,
Montana De La Rosa,Mara Romero Borella,-175,155,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,167.64,175.26,Orthodox,170.18,172.72,25,33,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Brok Weaver,Kazula Vargas,-270,230,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Lightweight,MALE,Southpaw,172.72,180.34,Southpaw,182.88,185.42,28,34,DQ,,1,4:02,,,,,,,,,,,,,,,,,
Rogerio Bontorin,Ray Borg,130,-150,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Flyweight,MALE,Orthodox,162.56,160.02,Orthodox,165.1,170.18,27,26,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Lando Vannata,Yancy Medeiros,-120,100,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Lightweight,MALE,Orthodox,177.8,190.5,Orthodox,175.26,180.34,27,32,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Tim Means,Daniel Rodriguez,-345,285,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Welterweight,MALE,Southpaw,185.42,190.5,Orthodox,187.96,190.5,35,33,SUB,Guillotine Choke,2,3:37,,,,,,,,,,,,,,,,,
John Dodson,Nathaniel Wood,130,-150,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,175.26,Orthodox,160.02,167.64,35,26,KO/TKO,Punch,3,0:16,,,,,,,,,,,,,,,,,
Jim Miller,Scott Holtzman,115,-135,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Lightweight,MALE,Orthodox,175.26,175.26,Southpaw,172.72,180.34,36,36,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Devin Clark,Dequan Townsend,-400,325,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Light Heavyweight,MALE,Orthodox,190.5,200.66,Orthodox,182.88,190.5,29,33,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Casey Kenney,Merab Dvalishvili,150,-170,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Bantamweight,MALE,Orthodox,167.64,172.72,Southpaw,170.18,172.72,28,29,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Macy Chiasson,Shanna Young,-800,550,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE,Orthodox,170.18,165.1,Orthodox,180.34,182.88,28,28,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Mark De La Rosa,Raulian Paiva,205,-245,15-02-2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Flyweight,MALE,Orthodox,172.72,175.26,Orthodox,167.64,165.1,25,24,KO/TKO,Punch,2,4:42,,,,,,,,,,,,,,,,,
Jon Jones,Dominick Reyes,-460,365,08-02-2020,"Houston, Texas, USA", USA,Red,TRUE,Light Heavyweight,MALE,Southpaw,193.04,195.58,Orthodox,193.04,213.36,32,30,U-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Valentina Shevchenko,Katlyn Chookagian,-920,610,08-02-2020,"Houston, Texas, USA", USA,Red,TRUE,Women's Flyweight,FEMALE,Orthodox,175.26,172.72,Southpaw,165.1,167.64,31,31,KO/TKO,Punches,3,1:03,,,,,,,,,,,,,,,,,
Juan Adams,Justin Tafa,-240,200,08-02-2020,"Houston, Texas, USA", USA,Blue,FALSE,Heavyweight,MALE,Southpaw,182.88,187.96,Orthodox,195.58,203.2,28,26,KO/TKO,Punch,1,1:59,,,,,,,,,,,,,,,,,
Mirsad Bektic,Dan Ige,-125,105,08-02-2020,"Houston, Texas, USA", USA,Blue,FALSE,Featherweight,MALE,Orthodox,170.18,180.34,Orthodox,172.72,177.8,28,28,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Derrick Lewis,Ilir Latifi,-225,185,08-02-2020,"Houston, Texas, USA", USA,Red,FALSE,Heavyweight,MALE,Orthodox,177.8,185.42,Orthodox,190.5,200.66,35,36,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Trevin Giles,James Krause,-170,130,08-02-2020,"Houston, Texas, USA", USA,Red,FALSE,Middleweight,MALE,Orthodox,187.96,185.42,Orthodox,182.88,187.96,27,33,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Alex Morono,Kalinn Williams,-345,285,08-02-2020,"Houston, Texas, USA", USA,Blue,FALSE,Welterweight,MALE,Orthodox,182.88,182.88,Orthodox,180.34,182.88,29,25,,,,,,,,,,,,,,,,,,,,,
Lauren Murphy,Andrea Lee,260,-320,08-02-2020,"Houston, Texas, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,167.64,175.26,Orthodox,165.1,170.18,36,30,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Miles Johns,Mario Bautista,-132,112,08-02-2020,"Houston, Texas, USA", USA,Blue,FALSE,Bantamweight,MALE,Switch,175.26,175.26,Orthodox,170.18,167.64,25,26,KO/TKO,Flying Knee,2,1:41,,,,,,,,,,,,,,,,,
Domingo Pilarte,Journey Newson,-125,105,08-02-2020,"Houston, Texas, USA", USA,Blue,FALSE,Bantamweight,MALE,Orthodox,165.1,170.18,Southpaw,182.88,185.42,30,30,Overturned,Punch,1,0:38,,,,,,,,,,,,,,,,,
Andre Ewell,Jonathan Martinez,-133,113,08-02-2020,"Houston, Texas, USA", USA,Red,FALSE,Bantamweight,MALE,Southpaw,172.72,177.8,Southpaw,172.72,190.5,32,25,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Austin Lingo,Youssef Zalel,-210,175,08-02-2020,"Houston, Texas, USA", USA,Blue,FALSE,Featherweight,MALE,Switch,177.8,182.88,Orthodox,177.8,177.8,25,23,,,,,,,,,,,,,,,,,,,,,
Curtis Blaydes,Junior Dos Santos,-280,240,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Heavyweight,MALE,Orthodox,193.04,195.58,Orthodox,193.04,203.2,28,36,KO/TKO,Punches,2,1:06,,,,,,,,,,,,,,,,,
Rafael Dos Anjos,Michael Chiesa,-225,185,25-01-2020,"Raleigh, North Carolina, USA", USA,Blue,FALSE,Welterweight,MALE,Southpaw,185.42,190.5,Southpaw,172.72,177.8,35,32,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Jordan Espinosa,Alex Perez,210,-250,25-01-2020,"Raleigh, North Carolina, USA", USA,Blue,FALSE,Flyweight,MALE,Orthodox,167.64,165.1,Orthodox,167.64,175.26,30,27,SUB,Arm Triangle,1,2:33,,,,,,,,,,,,,,,,,
Hannah Cifers,Angela Hill,180,-220,25-01-2020,"Raleigh, North Carolina, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE,Orthodox,160.02,162.56,Orthodox,154.94,157.48,27,35,KO/TKO,Elbows,2,4:26,,,,,,,,,,,,,,,,,
Jamahal Hill,Darko Stosic,-135,115,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Light Heavyweight,MALE,Orthodox,182.88,193.04,Southpaw,193.04,200.66,28,27,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Bevon Lewis,Dequan Townsend,-370,310,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Middleweight,MALE,Orthodox,190.5,200.66,Orthodox,190.5,200.66,28,33,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Arnold Allen,Nik Lentz,-235,195,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Featherweight,MALE,Orthodox,172.72,172.72,Southpaw,172.72,177.8,26,35,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Justine Kish,Luci Pudilova,150,-170,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,172.72,170.18,Orthodox,165.1,162.56,31,25,,,,,,,,,,,,,,,,,,,,,
Montel Jackson,Felipe Colares,-700,500,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Bantamweight,MALE,Orthodox,172.72,175.26,Southpaw,177.8,190.5,27,25,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Sara McMann,Lina Lansberg,-125,105,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE,Orthodox,170.18,165.1,Orthodox,167.64,167.64,39,37,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Brett Johns,Tony Gravely,-130,110,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Bantamweight,MALE,Orthodox,165.1,178,Orthodox,170.18,180.34,27,28,SUB,Rear Naked Choke,3,2:53,,,,,,,,,,,,,,,,,
Herbert Burns,Nate Landwehr,100,-120,25-01-2020,"Raleigh, North Carolina, USA", USA,Red,FALSE,Featherweight,MALE,Orthodox,175.26,182.88,Orthodox,175.26,187.96,31,31,KO/TKO,Knee,1,2:43,,,,,,,,,,,,,,,,,
Conor McGregor,Donald Cerrone,-305,275,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,Orthodox,185.42,185.42,Southpaw,175.26,187.96,31,36,KO/TKO,Punches,1,0:40,,,,,,,,,,,,,,,,,
Holly Holm,Raquel Pennington,-125,105,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE,Orthodox,170.18,170.18,Southpaw,172.72,175.26,38,31,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Aleksei Oleinik,Maurice Greene,110,-120,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Heavyweight,MALE,Orthodox,200.66,203.2,Orthodox,187.96,203.2,42,33,SUB,Armbar,2,4:38,,,,,,,,,,,,,,,,,
Anthony Pettis,Diego Ferreira,200,-220,18-01-2020,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE,Orthodox,175.26,187.96,Orthodox,177.8,182.88,32,34,SUB,Rear Naked Choke,2,1:46,,,,,,,,,,,,,,,,,
Roxanne Modafferi,Maycee Barber,655,-830,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,Switch,165.1,165.1,Orthodox,170.18,175.26,37,21,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Andre Fili,Sodiq Yusuff,125,-135,18-01-2020,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE,Orthodox,175.26,180.34,Orthodox,180.34,187.96,29,26,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Drew Dober,Nasrat Haqparast,290,-320,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,Southpaw,177.8,182.88,Southpaw,172.72,177.8,31,24,KO/TKO,Punch,1,1:10,,,,,,,,,,,,,,,,,
Aleksa Camur,Justin Ledet,-115,105,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Light Heavyweight,MALE,Orthodox,182.88,203.2,Orthodox,185.42,187.96,24,21,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Tim Elliott,Askar Askarov,130,-140,18-01-2020,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Flyweight,MALE,Orthodox,167.64,170.18,Southpaw,170.18,167.64,33,27,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Brian Kelleher,Ode Obsourne,125,-135,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,Southpaw,170.18,185.42,Switch,167.64,167.64,33,38,,,,,,,,,,,,,,,,,,,,,
Sabina Mazo,JJ Aldrich,-105,-105,18-01-2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,Southpaw,165.1,170.18,Orthodox,170.18,177.8,22,27,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Frankie Edgar,Chan Sung Jung,129,-151,21-12-2019,"Busan, South Korea", South Korea,Blue,FALSE,Featherweight,MALE,Orthodox,170.18,182.88,Orthodox,167.64,172.72,38,32,KO/TKO,Punches,1,3:18,,,,,,,,,,,,,,,,,
Volkan Oezdemir,Aleksandar Rakic,145,-175,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Light Heavyweight,MALE,Orthodox,193.04,198.12,Orthodox,193.04,190.5,30,27,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Dooho Choi,Charles Jourdain,-280,220,21-12-2019,"Busan, South Korea", South Korea,Blue,FALSE,Featherweight,MALE,Switch,175.26,175.26,Orthodox,175.26,177.8,28,24,KO/TKO,Punches,2,4:32,,,,,,,,,,,,,,,,,
Da Un Jung,Mike Rodriguez,-118,-118,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Light Heavyweight,MALE,Southpaw,193.04,208.28,Orthodox,193.04,199.39,31,31,,,,,,,,,,,,,,,,,,,,,
 Jun Yong Park,Marc-Andre Barriault,-138,105,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Middleweight,MALE,Orthodox,185.42,187.96,Orthodox,177.8,185.42,28,29,,,,,,,,,,,,,,,,,,,,,
Kyung Ho Kang,Liu Pingyuan,-275,200,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,182.88,Orthodox,175.26,185.42,32,26,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Ciryl Gane,Tanner Boser,-641,484,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Heavyweight,MALE,Orthodox,187.96,191.77,Orthodox,193.04,205.74,29,28,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Seungwoo Choi,Suman Mokhtarian,-275,200,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Featherweight,MALE,Orthodox,177.8,170.18,Orthodox,182.88,189.23,27,27,,,,,,,,,,,,,,,,,,,,,
Dong Hyun Ma,Omar Antonio Morales Ferrer,150,-200,21-12-2019,"Busan, South Korea", South Korea,Blue,FALSE,Lightweight,MALE,Orthodox,175.26,185.42,Orthodox,180.34,179.07,31,34,,,,,,,,,,,,,,,,,,,,,
Alexandre Pantoja,Matt Schnell,-181,159,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Flyweight,MALE,Orthodox,172.72,177.8,Orthodox,165.1,171.45,29,29,KO/TKO,Punch,1,4:17,,,,,,,,,,,,,,,,,
Raoni Barcelos,Said Nurmagomedov,-151,129,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Bantamweight,MALE,Orthodox,172.72,177.8,Orthodox,170.18,170.18,32,27,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Miranda Granger,Amanda Lemos,-303,234,21-12-2019,"Busan, South Korea", South Korea,Blue,FALSE,Women's Strawweight,FEMALE,Southpaw,162.56,165.1,Orthodox,170.18,172.72,27,32,SUB,Rear Naked Choke,1,3:43,,,,,,,,,,,,,,,,,
Heili Alateng,Ryan Benoit,126,-154,21-12-2019,"Busan, South Korea", South Korea,Red,FALSE,Bantamweight,MALE,Orthodox,165.1,173.99,Orthodox,165.1,168.91,28,30,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Kamaru Usman,Colby Covington,-190,165,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,TRUE,Welterweight,MALE,Orthodox,180.34,182.88,Switch,182.88,182.88,32,31,KO/TKO,Punch,5,4:10,,,,,,,,,,,,,,,,,
Max Holloway,Alexander Volkanovski,-200,170,14-12-2019,"Las Vegas, Nevada, USA", USA,Blue,TRUE,Featherweight,MALE,Orthodox,167.64,181.61,Orthodox,180.34,175.26,28,31,U-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Amanda Nunes,Germaine de Randamie,-460,365,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,TRUE,Women's Bantamweight,FEMALE,Orthodox,175.26,180.34,Orthodox,172.72,175.26,31,35,U-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Marlon Moraes,Jose Aldo,-165,145,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,Orthodox,170.18,177.8,Orthodox,167.64,170.18,31,33,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Peter Yan,Urijah Faber,-470,375,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,170.18,Switch,170.18,170.18,26,40,,,,,,,,,,,,,,,,,,,,,
Geoff Neal,Mike Perry,-300,250,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,Orthodox,177.8,180.34,Southpaw,180.34,190.5,29,28,KO/TKO,Punches,1,1:30,,,,,,,,,,,,,,,,,
Ketlen Vieira,Irene Aldana,-240,200,14-12-2019,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Bantamweight,FEMALE,Orthodox,175.26,173.99,Orthodox,172.72,172.72,28,31,KO/TKO,Punch,1,4:51,,,,,,,,,,,,,,,,,
Ian Heinisch,Omari Akhmedov,-115,-105,14-12-2019,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Middleweight,MALE,Orthodox,182.88,185.42,Orthodox,180.34,182.88,31,32,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Matt Brown,Ben Saunders,-355,295,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,Orthodox,187.96,196.85,Orthodox,182.88,190.5,38,36,KO/TKO,Punches,2,4:55,,,,,,,,,,,,,,,,,
Chase Hooper,Daniel Teymur,-165,145,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Featherweight,MALE,Orthodox,165.1,175.26,Southpaw,185.42,191.77,20,31,KO/TKO,Elbows,1,4:34,,,,,,,,,,,,,,,,,
Brandon Moreno,Kai Kara France,140,-160,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Flyweight,MALE,Orthodox,162.56,175.26,Orthodox,170.18,177.8,26,26,,,,,,,,,,,,,,,,,,,,,
Jessica Eye,Viviane Araujo,185,-225,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,162.56,172.72,Orthodox,167.64,167.64,33,33,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Punahele Soriano,Oskar Piechota,-125,105,14-12-2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Middleweight,MALE,Southpaw,182.88,193.04,Southpaw,180.34,184.15,27,29,KO/TKO,Punch,1,3:17,,,,,,,,,,,,,,,,,
Alistair Overeem,Jairzinho Rozenstruik,130,-150,07-12-2019,"Washington, DC, USA", USA,Blue,FALSE,Heavyweight,MALE,Orthodox,193.04,198.12,Orthodox,193.04,203.2,39,31,KO/TKO,Punch,5,4:56,,,,,,,,,,,,,,,,,
Stefan Struve,Ben Rothwell,130,-150,07-12-2019,"Washington, DC, USA", USA,Blue,FALSE,Heavyweight,MALE,Orthodox,193.04,199.39,Orthodox,210.82,214.63,31,36,KO/TKO,Punches,2,4:57,,,,,,,,,,,,,,,,,
Aspen Ladd,Yana Kunitskaya,-210,175,07-12-2019,"Washington, DC, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE,Orthodox,167.64,173.99,Orthodox,167.64,167.64,24,30,KO/TKO,Punches,3,0:33,,,,,,,,,,,,,,,,,
Rob Font,Ricky Simon,-145,125,07-12-2019,"Washington, DC, USA", USA,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,175.26,Orthodox,172.72,181.61,32,27,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Thiago Alves,Tim Means,225,-265,07-12-2019,"Washington, DC, USA", USA,Blue,FALSE,Welterweight,MALE,Orthodox,187.96,190.5,Orthodox,175.26,177.8,36,35,SUB,Guillotine Choke,1,2:38,,,,,,,,,,,,,,,,,
Billy Quarantillo,Jacob Kilburn,-320,260,07-12-2019,"Washington, DC, USA", USA,Red,FALSE,Featherweight,MALE,Orthodox,175.26,182.88,Orthodox,177.8,177.8,30,24,SUB,Triangle Choke,2,3:18,,,,,,,,,,,,,,,,,
Bryce Mitchell,Matt Sayles,110,-130,07-12-2019,"Washington, DC, USA", USA,Red,FALSE,Featherweight,MALE,Orthodox,170.18,173.99,Southpaw,177.8,177.8,25,25,SUB,Other - Lock,1,4:20,,,,,,,,,,,,,,,,,
Joe Solecki,Matt Wiman,-400,325,07-12-2019,"Washington, DC, USA", USA,Red,FALSE,Lightweight,MALE,Orthodox,177.8,172.72,Orthodox,175.26,179.07,26,36,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Mallory Martin,Virna Jandiroba,215,-255,07-12-2019,"Washington, DC, USA", USA,Red,FALSE,Women's Strawweight,FEMALE,Orthodox,160.02,162.56,Orthodox,162.56,160.02,25,31,SUB,Rear Naked Choke,2,1:16,,,,,,,,,,,,,,,,,
Makhmud Muradov,Trevor Smith,-500,400,07-12-2019,"Washington, DC, USA", USA,Red,FALSE,Light Heavyweight,MALE,Orthodox,190.5,190.5,Orthodox,187.96,191.77,29,38,KO/TKO,Punch,3,4:09,,,,,,,,,,,,,,,,,
Jan Blachowicz,Jacare Souza,-160,140,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Light Heavyweight,MALE,Orthodox,185.42,182.88,Orthodox,187.96,198.12,36,40,S-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Charles Oliveira,Jared Gordon,-390,320,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Lightweight,MALE,Orthodox,175.26,172.72,Orthodox,177.8,187.96,30,31,KO/TKO,Punch,1,1:26,,,,,,,,,,,,,,,,,
Antonio Arroyo,Andre Muniz,105,-125,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Middleweight,MALE,Southpaw,185.42,198.12,Orthodox,190.5,185.42,30,29,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Markus Perez,Wellington Turman,135,-155,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Middleweight,MALE,Orthodox,182.88,182.88,Orthodox,185.42,185.42,21,23,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Sergio Moraes,James Krause,170,-200,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Welterweight,MALE,Orthodox,187.96,185.42,Orthodox,182.88,182.88,37,33,KO/TKO,Punch,3,4:19,,,,,,,,,,,,,,,,,
Ricardo Ramos,Eduardo Garagorri,-430,345,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Featherweight,MALE,Orthodox,175.26,177.8,Orthodox,175.26,182.88,24,30,SUB,Rear Naked Choke,1,3:57,,,,,,,,,,,,,,,,,
Francisco Trinaldo,Bobby Green,-155,135,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Lightweight,MALE,Orthodox,177.8,180.34,Southpaw,175.26,177.8,41,33,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Warlley Alves,Randy Brown,-135,115,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Welterweight,MALE,Orthodox,190.5,198.12,Orthodox,180.34,182.88,29,29,SUB,Triangle Choke,2,1:22,,,,,,,,,,,,,,,,,
Douglas Silva de Andrade,Renan Barao,-235,195,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Featherweight,MALE,Orthodox,167.64,177.8,Orthodox,170.18,172.72,34,32,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Ariane Lipski,Isabela De Pauda,-260,220,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,160.02,162.56,Orthodox,167.64,170.18,25,28,,,,,,,,,,,,,,,,,,,,,
Vanessa Melo,Tracy Cortez,195,-235,16-11-2019,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Women's Bantamweight,FEMALE,Orthodox,165.1,165.1,Orthodox,165.1,165.1,31,26,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Zabit Magomedsharipov,Calvin Kattar,-275,235,09-11-2019,"Moscow, Moscow, Russia", Russia,Red,FALSE,Featherweight,MALE,Orthodox,180.34,182.88,Orthodox,185.42,185.42,28,31,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Alekander Volkov,Greg Hardy,-270,230,09-11-2019,"Moscow, Moscow, Russia", Russia,Red,FALSE,Heavyweight,MALE,Orthodox,195.58,203.2,Orthodox,200.66,203.2,31,31,,,,,,,,,,,,,,,,,,,,,
Zelim Imadaev,Danny Roberts,-240,200,09-11-2019,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Welterweight,MALE,Southpaw,185.42,187.96,Orthodox,182.88,193.04,24,32,KO/TKO,Punch,2,4:54,,,,,,,,,,,,,,,,,
Khadis Ibragimov,Ed Herman,-235,195,09-11-2019,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Light Heavyweight,MALE,Orthodox,185.42,195.58,Orthodox,190.5,198.12,24,39,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Ramazan Emeev,Rocco Martin,-135,115,09-11-2019,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Welterweight,MALE,Orthodox,182.88,185.42,Southpaw,177.8,193.04,32,30,,,,,,,,,,,,,,,,,,,,,
Shamil Gamzatov,Klidson Abreu,-145,125,09-11-2019,"Moscow, Moscow, Russia", Russia,Red,FALSE,Light Heavyweight,MALE,Orthodox,182.88,187.96,Orthodox,187.96,193.04,29,27,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Magomed Ankalaev,Dalcha Lungiambula,-330,270,09-11-2019,"Moscow, Moscow, Russia", Russia,Red,FALSE,Light Heavyweight,MALE,Orthodox,172.72,193.04,Orthodox,190.5,190.5,27,32,KO/TKO,Kick,3,0:29,,,,,,,,,,,,,,,,,
Rustam Khabilov,Sergey Khandozhko,-245,205,09-11-2019,"Moscow, Moscow, Russia", Russia,Red,FALSE,Welterweight,MALE,Orthodox,185.42,187.96,Orthodox,172.72,185.42,33,27,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Roman Kopylov,Karl Roberson,-145,125,09-11-2019,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Middleweight,MALE,Southpaw,185.42,187.96,Southpaw,182.88,190.5,28,29,SUB,Rear Naked Choke,3,4:01,,,,,,,,,,,,,,,,,
Abubakar Nurmagomedov,David Zawada,-265,225,09-11-2019,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Welterweight,MALE,Orthodox,182.88,190.5,Orthodox,180.34,182.88,30,29,SUB,Triangle Choke,1,2:50,,,,,,,,,,,,,,,,,
Alexander Yakovlev,Roosevelt Roberts,110,-130,09-11-2019,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Lightweight,MALE,Orthodox,187.96,185.42,Southpaw,190.5,187.96,35,25,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Jessica-Rose Clark,Pannie Kianzad,-105,-115,09-11-2019,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Women's Bantamweight,FEMALE,Orthodox,170.18,167.64,Orthodox,165.1,162.56,32,28,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
